Name,City,Country,Latitude,Longitude,Altitude
Goroka Airport,Goroka,Papua New Guinea,-6.081689835,145.3919983,5282
Madang Airport,Madang,Papua New Guinea,-5.207079887,145.7890015,20
Mount Hagen Kagamuga Airport,Mount Hagen,Papua New Guinea,-5.826789856,144.2960052,5388
Nadzab Airport,Nadzab,Papua New Guinea,-6.569803,146.725977,239
Port Moresby Jacksons International Airport,Port Moresby,Papua New Guinea,-9.443380356,147.2200012,146
Wewak International Airport,Wewak,Papua New Guinea,-3.583830118,143.6690063,19
Narsarsuaq Airport,Narssarssuaq,Greenland,61.16049957,-45.42599869,112
Godthaab / Nuuk Airport,Godthaab,Greenland,64.19090271,-51.67810059,283
Kangerlussuaq Airport,Sondrestrom,Greenland,67.0122219,-50.71160316,165
Thule Air Base,Thule,Greenland,76.53119659,-68.70320129,251
Akureyri Airport,Akureyri,Iceland,65.66000366,-18.0727005,6
Egilssta�ir Airport,Egilsstadir,Iceland,65.28330231,-14.40139961,76
Hornafj�r�ur Airport,Hofn,Iceland,64.295601,-15.2272,24
H�sav�k Airport,Husavik,Iceland,65.952301,-17.426001,48
�safj�r�ur Airport,Isafjordur,Iceland,66.05809784,-23.13529968,8
Keflavik International Airport,Keflavik,Iceland,63.98500061,-22.60560036,171
Patreksfj�r�ur Airport,Patreksfjordur,Iceland,65.555801,-23.965,11
Reykjavik Airport,Reykjavik,Iceland,64.12999725,-21.94059944,48
Siglufj�r�ur Airport,Siglufjordur,Iceland,66.133301,-18.9167,10
Vestmannaeyjar Airport,Vestmannaeyjar,Iceland,63.42430115,-20.27890015,326
Sault Ste Marie Airport,Sault Sainte Marie,Canada,46.48500061,-84.50939941,630
Winnipeg / St. Andrews Airport,Winnipeg,Canada,50.0564003,-97.03250122,760
Halifax / CFB Shearwater Heliport,Halifax,Canada,44.639702,-63.499401,144
St. Anthony Airport,St. Anthony,Canada,51.39189911,-56.08309937,108
Tofino / Long Beach Airport,Tofino,Canada,49.079833,-125.775583,80
Kugaaruk Airport,Pelly Bay,Canada,68.534401,-89.808098,56
Baie Comeau Airport,Baie Comeau,Canada,49.13249969,-68.20439911,71
CFB Bagotville,Bagotville,Canada,48.33060074,-70.99639893,522
Baker Lake Airport,Baker Lake,Canada,64.29889679,-96.07779694,59
Campbell River Airport,Campbell River,Canada,49.95080185,-125.2710037,346
Brandon Municipal Airport,Brandon,Canada,49.91,-99.951897,1343
Cambridge Bay Airport,Cambridge Bay,Canada,69.10810089,-105.1380005,90
Nanaimo Airport,Nanaimo,Canada,49.05497022,-123.8698626,92
Castlegar/West Kootenay Regional Airport,Castlegar,Canada,49.29639816,-117.6320038,1624
Miramichi Airport,Chatham,Canada,47.007801,-65.449203,108
Charlo Airport,Charlo,Canada,47.990799,-66.330299,132
Kugluktuk Airport,Coppermine,Canada,67.816704,-115.143997,74
Coronation Airport,Coronation,Canada,52.07500076,-111.4449997,2595
Chilliwack Airport,Chilliwack,Canada,49.15280151,-121.939003,32
Clyde River Airport,Clyde River,Canada,70.48609924,-68.51670074,87
Coral Harbour Airport,Coral Harbour,Canada,64.19329834,-83.35939789,210
Dawson City Airport,Dawson,Canada,64.04309845,-139.128006,1215
Burwash Airport,Burwash,Canada,61.37110138,-139.0410004,2647
Princeton Airport,Princeton,Canada,49.4681015,-120.5110016,2298
Deer Lake Airport,Deer Lake,Canada,49.21080017,-57.39139938,72
Dease Lake Airport,Dease Lake,Canada,58.42219925,-130.0319977,2600
Dauphin Barker Airport,Dauphin,Canada,51.10079956,-100.052002,999
Dawson Creek Airport,Dawson Creek,Canada,55.74229813,-120.1829987,2148
Edmonton International Airport,Edmonton,Canada,53.30970001,-113.5800018,2373
